name,industry,rating,pros,cons,position,created_at
BZAM Management Inc.,Cannabis,5,"Nice people, the managers and everyone there are super nice",None provided,Google Reviewer,2025-01-07T17:18:10.110851
BZAM Management Inc.,Cannabis,1,None provided,Absolutely criminal company.,Google Reviewer,2025-01-07T17:18:35.878675
